ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Cells
1	511	424.3333333333333	107.66666666666667	0	511	16
1	512	475.5	108.0	0	512	15
1	513	477.0	108.0	0	513	15
1	514	205.0	109.33333333333333	0	514	17
1	515	258.5	109.0	0	515	18
1	516	266.14285714285717	109.28571428571429	0	516	18
1	517	400.5	109.0	0	517	16
1	518	461.0	109.0	0	518	15
1	519	480.3333333333333	108.66666666666667	0	519	15
1	520	151.66666666666666	110.66666666666667	0	520	14
1	521	158.0	110.0	0	521	14
1	522	191.5	110.0	0	522	17
1	523	207.0	110.0	0	523	17
1	524	269.8333333333333	110.0	0	524	18
1	525	276.0	110.0	0	525	18
1	526	470.0	110.0	0	526	15
1	527	472.5	110.0	0	527	15
1	528	484.0	110.33333333333333	0	528	15
1	529	186.5	111.0	0	529	20
1	530	263.5	111.0	0	530	18
1	531	403.0	111.0	0	531	16
1	532	415.5	110.5	0	532	16
1	533	188.0	112.0	0	533	20
1	534	257.5	112.25	0	534	18
1	535	275.5	111.5	0	535	18
1	536	467.0	112.0	0	536	15
1	537	476.42857142857144	112.14285714285714	0	537	15
1	538	481.5	112.0	0	538	15
1	539	182.125	113.625	0	539	20
1	540	185.0	113.0	0	540	20
1	541	210.0	113.0	0	541	17
1	542	411.25	113.75	0	542	16
1	543	441.0	113.66666666666667	0	543	19
1	544	155.0	114.0	0	544	14
1	545	160.0	114.0	0	545	14
1	546	198.0	114.0	0	546	17
1	547	203.0	114.0	0	547	17
1	548	260.0	113.5	0	548	18
1	549	276.0	114.0	0	549	18
1	550	425.0	114.0	0	550	16
1	551	477.0	114.0	0	551	15
1	552	492.0	114.0	0	552	15
1	553	147.83333333333334	114.5	0	553	14
1	554	279.0	115.0	0	554	18
1	555	465.5	115.0	0	555	15
1	556	151.0	115.5	0	556	14
1	557	160.0	116.0	0	557	20
1	558	201.33333333333334	116.33333333333333	0	558	17
1	559	263.0	116.0	0	559	18
1	560	468.0	115.5	0	560	15
1	561	157.0	117.0	0	561	14
1	562	185.5	117.5	0	562	20
1	563	207.5	117.0	0	563	17
1	564	159.5	118.0	0	564	20
1	565	188.0	118.0	0	565	20
1	566	265.0	118.0	0	566	18
1	567	452.0	118.0	0	567	19
1	568	459.0	118.0	0	568	19
1	569	206.5	119.0	0	569	17
1	570	413.5	119.0	0	570	16
1	571	448.3333333333333	118.66666666666667	0	571	19
1	572	173.0	120.0	0	572	20
1	573	276.0	120.0	0	573	18
1	574	284.6666666666667	119.66666666666667	0	574	18
1	575	438.0	120.0	0	575	19
1	576	473.0	120.0	0	576	15
1	577	476.6666666666667	119.66666666666667	0	577	15
1	578	203.2	121.4	0	578	17
1	579	207.0	120.75	0	579	17
1	580	261.0	121.0	0	580	18
1	581	439.5	121.0	0	581	19
1	582	452.0	120.5	0	582	19
1	583	177.0	122.0	0	583	20
1	584	265.6	122.2	0	584	18
